12000 3 
0 3.333333e+000 1 
0 2.500000e+000 1 
0 2.500000e+000 1 
0 2.857143e+000 1 
0 2.857143e+000 1 
0 5 1 
0 3.333333e+000 1 
0 3.333333e+000 1 
0 4 1 
0 3.333333e+000 1 
0 3.333333e+000 1 
0 5 1 
0 6.666667e+000 1 
0 5 1 
0 5 1 
0 5 1 
0 6.333333e+000 1 
0 6.666667e+000 1 
0 4 1 
0 5 1 
0 5 1 
0 2.222222e+000 1 
0 2.500000e+000 1 
0 4 1 
0 2.500000e+000 1 
0 2.222222e+000 1 
0 6.666667e+000 1 
0 4 1 
0 3.333333e+000 1 
0 4 1 
0 4 1 
0 6.666667e+000 1 
0 5 1 
0 5 1 
0 6.666667e+000 1 
0 9.500000e+000 1 
0 5 1 
0 6.666667e+000 1 
0 5 1 
0 4 1 
0 4 1 
0 5 1 
0 6.666667e+000 1 
0 3.333333e+000 1 
0 4 1 
0 5 1 
0 6.666667e+000 1 
0 5 1 
0 5 1 
0 6.666667e+000 1 
0 6.666667e+000 1 
0 6.666667e+000 1 
0 10 1 
0 5 1 
0 10 1 
0 6 1 
0 10 1 
0 10 1 
0 6.666667e+000 1 
0 8 1 
0 5 1 
0 4 1 
0 3.333333e+000 1 
0 5 1 
0 6.666667e+000 1 
0 4 1 
0 5 1 
0 5 1 
0 5 1 
0 6.333333e+000 1 
0 4 1 
0 9.500000e+000 1 
0 2.857143e+000 1 
0 4 1 
0 3.333333e+000 1 
0 5 1 
0 5 1 
0 5 1 
0 3.333333e+000 1 
0 5 1 
0 2.222222e+000 1 
0 5 1 
0 2.222222e+000 1 
0 2 1 
0 2.500000e+000 1 
0 2 1 
0 2.857143e+000 1 
0 2.500000e+000 1 
0 2.500000e+000 1 
0 2.500000e+000 1 
0 8.500000e+000 1 
0 10 1 
1 2.500000e+000 1 
0 4 1 
0 5 1 
2 4 1 
0 5 1 
0 2.857143e+000 1 
0 3.333333e+000 1 
0 4 1 
0 10 1 
0 6.666667e+000 1 
0 6 1 
0 5 1 
0 5 1 
0 10 1 
0 10 1 
0 6.666667e+000 1 
0 10 1 
0 6.666667e+000 1 
0 3.333333e+000 1 
0 4 1 
0 5 1 
0 5 1 
0 4 1 
0 4 1 
0 6.333333e+000 1 
0 6.333333e+000 1 
0 6.666667e+000 1 
0 4 1 
0 9 1 
0 5 1 
0 6.666667e+000 1 
0 5 1 
0 5 1 
0 5 1 
0 6.666667e+000 1 
0 6.666667e+000 1 
0 6.666667e+000 1 
0 5 1 
0 2.500000e+000 1 
0 2.857143e+000 1 
0 3.333333e+000 1 
0 2.222222e+000 1 
0 1.818182e+000 1 
0 1.818182e+000 1 
0 1.538462e+000 1 
0 2 1 
0 1.666667e+000 1 
0 1.666667e+000 1 
0 6.666667e+000 1 
0 4 1 
0 6.666667e+000 1 
0 6.666667e+000 1 
0 4 1 
0 5 1 
0 5 1 
0 4 1 
